name,mbid
Charlie Wilson,b2d7c5e9-0e74-45e9-99a2-de24c19ee014
Cormega,6e437c13-304a-4b5e-afd0-ec9540c96c9d
9th Wonder,48513f24-37d5-423f-b9b7-2b712af7f50d
Vince Gill,ec37ecfe-65b4-49a4-83c7-ee1ccaeec2e3
Mavis Staples,04f57a2d-2449-400e-8fff-5b1c5af9560b
The Alchemist,03f3deb7-0419-4bf9-a1e7-511946385717
BJ the Chicago Kid,112beffb-1adc-488b-8d61-7b2ab3475d52
Outlawz,60f063f4-0ad9-4070-9801-3cf017728c44
Canibus,3f09f9d0-a88a-41a0-8cd8-a6dbcff2c50d
Statik Selektah,b0bc78bc-6f67-487b-a571-bdf4a24da486
Sean Price,c659f049-6d66-4b4e-b33e-f0991f287d34
KXNG Crooked,d1884ed4-58ff-407c-8220-2b3ffa3d5619
Joell Ortiz,ab791743-29b5-4888-a9ea-9b3ded2211f1
Sheek Louch,339ed05f-5f9f-4222-8e95-5bf5ec3af22a
Remy Ma,1e882508-f664-4abb-919a-8e266f2fad63
Marsha Ambrosius,24285231-f192-42f1-baea-0f467dd1d8aa
Erick Sermon,7fdb6168-64a8-4b5a-9a6a-e39803e4aec1
Yukmouth,3fab0883-3a34-4e68-9d44-fe7ab789e396
Jermaine Dupri,fb75bc76-a50b-4d3a-b060-63092a4c6bbf
Ras Kass,ccceb435-efd5-426a-bcdc-024262712525
