mbid,listeners_lastfm
97b20fe3-0924-4a5f-9955-d0b5c5f9587f,1101575
f1c8da15-b408-4149-b863-f1cbe9971f19,1099673
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,1098133
3f542031-b054-454d-b57b-812fa2a81b11,1094827
e22d2f66-881e-41ca-9356-544697ee5f90,1089540
bc85da58-52d9-457d-ae8d-5d8d4ec870a9,1088389
8456e9f7-debf-4579-a86c-33a325a35d2d,1088372
5b64e344-b2fb-47bd-bd7b-4c793b17d472,1087914
29eead4d-3793-4625-8727-c03edbb38b8b,1085641
f053ae01-dae6-4aae-9883-e8c279fdbef4,1085165
6acb932e-840d-47ac-8e0d-725ad8a6e52c,1077753
72359492-22be-4ed9-aaa0-efa434fb2b01,1075515
dcaa4f81-bfb7-44eb-8594-4e74f004b6e4,1070018
5ca3f318-d028-4151-ac73-78e2b2d6cdcc,1068918
dcf5807c-ef1f-4291-b452-6824080ecac4,1066360
9f4551c6-1324-4ac5-b3fe-a5c5cfacd54d,1063904
55ef024a-6cc0-49ed-8ce2-2e12193c0f46,1059680
2469950a-f0ca-425a-bfbc-baf55ea3afde,1051747
20883363-1ea4-4d72-ad72-c0e767038f3e,1050586
0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5,1049727
321531fc-db73-4ffa-a959-61a61a2908c1,1049675
26f07661-e115-471d-a930-206f5c89d17c,1049550
3a54bffa-2314-44a2-927b-60144119c780,1036223
b625448e-bf4a-41c3-a421-72ad46cdb831,1035377
f236134b-7ebb-4ba8-b155-1791193d05ec,1034711
bdbd48f5-abf3-4a4f-9a21-4551dbc3fde9,1034383
a0e8a1b1-5f8f-475a-a253-17415c17d0ff,1034303
1fc494a1-9109-4081-a455-2d05bea9d2bf,1033097
0110e63e-0a9b-4818-af8e-41e180c20b9a,1030749
36bfa85f-737b-41db-a8fc-b8825850ffc3,1030378
e8374874-4178-4869-b92e-fef6bf30dc04,1029979
29542149-a818-4167-aa91-439adc9d61f5,1029321
